,Experiment,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,NWChem,PySCF,w06-2x+def2-TZVPP,wB97x+def2-TZVPP(partial)
NVJUHMXYKCUMQA-UHFFFAOYSA-N,5.15,0.1312892,0.064047715,0.064047715,0.107849255,0.085708804,0.08571053,0.08676424,0.17734496,0.16173995,0.02936301,0.03551477,0.03551504,0.02348521,0.04717503,0.04373439,0.058466,0.066251145,0.05963,
NVPICXQHSYQKGM-UHFFFAOYSA-N,6.572,0.1901847,0.087004069,0.087004069,0.088919595,0.07148681,0.07146624,0.07570146,0.11282053,0.12248904,0.0331448,0.03264445,0.032609,0.04334857,0.04235075,0.04370208,0.08124,0.083651926,0.080305,
NWPWRAWAUYIELB-UHFFFAOYSA-N,5.395,0.16655394,0.067072196,0.067072196,0.12045705,0.11892381,0.11895273,0.121923015,0.16219524,0.15460014,0.0363329,0.04531303,0.04531366,0.03471699,0.04608744,0.04317396,0.064319,,0.06471,
NYPYPOZNGOXYSU-UHFFFAOYSA-N,5.972,,0.052472842,0.052472842,0.11840862,0.06117516,0.054942496,0.0871346,0.09378232,0.11054756,0.02919778,,0.03617673,0.03870571,,,0.060704,0.048370746,0.060169,
NYYLZXREFNYPKB-UHFFFAOYSA-N,9.112,,0.083923906,0.083923906,0.24127959,0.1540401,0.19396363,0.18602052,0.21867348,0.14815095,0.07497918,,0.06479693,0.05403792,,,0.078099,,0.083093,
NZNMSOFKMUBTKW-UHFFFAOYSA-N,5.4,0.16163228,0.060734333,0.060734333,0.12006985,0.11414568,0.114249416,0.122079045,0.1528377,0.14947644,,,,,,,0.061688,0.074582379,0.062702,
NZZFYRREKKOMAT-UHFFFAOYSA-N,1.6,,0.021099813,0.021099813,0.058870032,0.019559823,0.039180674,0.020539567,0.04104802,0.036695488,,,,,,,0.014752,0.012975014,0.014903,
OAGOUCJGXNLJNL-UHFFFAOYSA-N,6.528,0.18392289,0.080640496,0.080640496,0.08100492,0.06691061,0.06690741,0.072057396,0.10665524,0.11786292,0.03231278,0.03150208,0.03150278,0.04206098,0.03967565,0.0415702,0.079444,0.077988524,0.078208,
OBNCKNCVKJNDBV-UHFFFAOYSA-N,5.528,0.16107868,0.06762429,0.06762429,0.12174465,0.1149022,0.1148926,0.12068985,0.15931074,0.15630417,0.03835272,0.04453706,0.04453865,0.0360663,0.04617647,0.04196855,0.064562,0.074572756,0.065571,
OCGXPFSUJVHRHA-UHFFFAOYSA-N,8.194,0.20181322,0.081508609,0.081508609,0.13615891,0.12211292,0.12223654,0.12728179,0.1949622,0.18591437,0.05552733,0.0497546,0.04974585,0.05071344,0.07304911,0.07004931,0.078719,,0.080317,
ODHXBMXNKOYIBV-UHFFFAOYSA-N,3.608,0.07202346,0.036464309,0.036464309,0.10735898,0.055420704,0.05695588,0.089370936,0.11370509,0.12750947,0.04420918,0.02806505,0.02802012,0.03589494,0.04654765,0.04615738,0.026676,,,
ODKLEQPZOCJQMT-UHFFFAOYSA-N,9.483,0.15309411,0.073807431,0.073807431,0.13350311,0.06793534,0.06809572,0.11243089,0.1517582,0.16240317,0.05118734,0.03967508,0.03944074,0.04542154,0.05579187,0.05776277,0.082789,0.094012921,0.0812,
OEPRBXUJOQLYID-UHFFFAOYSA-N,2.929,0.10358792,0.050452274,0.050452274,0.07500047,0.082303084,0.082267456,0.060314987,0.092418306,0.09787841,0.02105636,0.03453845,0.03453801,0.02339229,0.02583169,0.02662603,0.042091,0.049271612,0.044323,
OFCCYDUUBNUJIB-UHFFFAOYSA-N,5.461,0.16207683,0.064848878,0.064848878,0.11310434,0.103047825,0.09223105,0.11444758,0.14273965,0.1415152,0.04569253,,0.0431101,0.03949667,,,0.06405,,0.067205,
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,8.172,0.1989104,0.078220658,0.078220658,0.13458994,0.119264774,0.11926137,0.13603787,0.18304367,0.1799038,0.04200896,0.04762983,0.04762919,0.04162673,0.05393665,0.05195118,0.078225,0.085791126,0.080272,
OIFBSDVPJOWBCH-UHFFFAOYSA-N,5.017,0.16157295,0.063986283,0.063986283,0.12467848,0.12190162,0.12198199,0.12567025,0.156911,0.15414213,0.03712789,0.04484633,0.0448504,0.03648293,0.04510058,0.04335306,0.061024,,0.061825,
OISVCGZHLKNMSJ-UHFFFAOYSA-N,7.816,0.14168443,0.066884446,0.066884446,0.12854466,0.08211804,0.08208591,0.101854734,0.12824292,0.144951,0.03504984,0.03852581,0.03852735,0.04194879,0.0492591,0.05005728,0.069084,0.037326567,0.068199,
OIWFZENWZGPLQZ-UHFFFAOYSA-N,5.665,0.15090431,0.068883968,0.068883968,0.11214543,0.07600739,0.06933532,0.120700605,0.157032,0.15375237,0.04419875,,0.03512563,0.04059254,,,0.066667,0.074020218,0.068181,
OKDGRDCXVWSXDC-UHFFFAOYSA-N,5.395,0.119029544,0.059095064,0.059095064,0.10015114,0.07324939,0.07187803,0.09681836,0.10156272,0.119707555,0.03922929,,0.04497251,0.04463728,,,0.064667,0.053346108,0.063567,
OKKJLVBELUTLKV-UHFFFAOYSA-N,4.841,0.15446487,0.062711042,0.062711042,0.08596343,0.07131238,0.07130407,0.07382126,0.14504972,0.14278114,0.02658323,0.03556453,0.03556539,0.02096636,0.03863117,0.03545686,0.065021,0.070014766,0.063204,
OLJDIRLJSRSJNR-UHFFFAOYSA-N,4.411,0.12643564,0.060572838,0.060572838,0.07800916,0.055694774,0.0540082,0.09522731,0.14184155,0.11474611,0.04344291,,0.02792219,0.04330236,,,0.061046,0.069098523,0.060396,
OLJVAWRLTPGYQL-DTJXOCLSSA-N,4.462,0.1498009,0.055826218,0.055826218,0.13305846,0.112723716,0.11270815,0.10747266,0.1813392,0.14740624,0.01083648,0.02500104,0.02551527,0.01604804,0.03505749,0.02129853,0.05491,0.061020967,,
ONIHPYYWNBVMID-UHFFFAOYSA-N,4.75,0.16137737,0.061084729,0.061084729,0.106110536,0.10681159,0.10683125,0.109317996,0.14347899,0.13925745,0.02964063,0.03999678,0.03999903,0.02936339,0.03741568,0.03493475,0.058419,,0.058696,
OOLOYCGJRJFTPM-UHFFFAOYSA-N,2.462,0.09080237,0.043899413,0.043899413,0.067310736,0.07495477,0.074935466,0.05353894,0.08007553,0.08660528,0.01849623,0.03138855,0.03138855,0.02062209,0.02193278,0.02357019,0.038379,0.044792573,0.040061,
OOWFYDWAMOKVSF-UHFFFAOYSA-N,5.078,0.15512602,0.07055516,0.07055516,0.068311244,0.057652917,0.057613194,0.058483534,0.11989598,0.10097669,0.02264947,0.0273019,0.02730261,0.03989391,0.03477363,0.03663008,0.069443,0.080833843,0.068856,
