,Experiment,NWChem,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,w06-2x+def2-TZVPP
OYRRZWATULMEPF-UHFFFAOYSA-N,2.9,0.09231,0.157254010,0.077300266,0.077300266,0.102268770,0.064729210,0.064428054,0.073424500,0.120787576,0.131393820,0.039843870,0.030767480,0.030572170,0.033890640,0.045618670,0.047748570,0.096648000
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,2.4,0.075557,0.130918060,0.066204816,0.066204816,0.081352650,0.039130930,0.039126746,0.041015297,0.090709310,0.098379790,0.030993840,0.021086330,0.021075420,0.024155780,0.034205490,0.036070780,0.079129000
PBGKNXWGYQPUJK-UHFFFAOYSA-N,3.2,0.099396,0.172701150,0.082478253,0.082478253,0.132858040,0.086606145,0.091876246,0.124257475,0.149992260,0.157245250,0.052683810,,0.043755450,0.036085560,,,0.101694000
PEEHTFAAVSWFBL-UHFFFAOYSA-N,3.4,0.091767,0.163114560,0.069567521,0.069567521,0.101911500,0.083747745,0.083685700,0.081518260,0.109514200,0.110812210,0.033082560,0.030544170,0.030540610,0.030274100,0.035071570,0.033818450,0.100519000
PERWAYOEWJEJNO-UHFFFAOYSA-N,3.9,0.087044,0.150503320,0.063380165,0.063380165,0.094657940,0.084570740,0.076239600,0.088694420,0.110903814,0.115343040,0.034690570,,0.032070420,0.038991700,,,0.089888000
PGJYYCIOYBZTPU-UHFFFAOYSA-N,3.3,0.096637,0.170470220,0.088389669,0.088389669,0.092795140,0.113856730,0.113945320,0.090222890,0.116542400,0.122050850,0.034160720,0.043071020,0.043077230,0.036610870,0.036857040,0.036606430,0.102247000
PPWNCLVNXGCGAF-UHFFFAOYSA-N,1.9,0.049598,0.071701035,0.044249921,0.044249921,0.076008710,0.059503876,0.059507377,0.068712674,0.051033630,0.049280270,0.030589970,0.025769570,0.025770840,0.033236430,0.021230960,0.020539840,0.057652000
PRDFNJUWGIQQBW-UHFFFAOYSA-N,2.5,0.0782,0.134133550,0.061015132,0.061015132,0.139204110,0.122572154,0.122593254,0.121044570,0.129240240,0.130727160,0.053522610,0.050463820,0.050464890,0.054827000,0.049139240,0.049494550,0.088895000
PSOSICZGLLPDFA-UHFFFAOYSA-N,,0.095858,0.166664450,0.072027816,0.072027816,0.090357340,0.063812590,0.068118190,0.057085115,0.097363180,0.106094140,0.032020170,,0.024701260,0.030535850,,,0.103175000
PXSGFTWBZNPNIC-UHFFFAOYSA-N,4.2,0.110752,0.194059670,0.099391987,0.099391987,0.119981244,0.114597425,0.113333050,0.126510380,0.157105550,0.155673860,0.039624560,,0.041754300,0.036959740,,,0.113812000
PYEHNKXDXBNHQQ-UHFFFAOYSA-N,3.9,0.088952,0.137389180,0.068955961,0.068955961,0.098073990,0.067115730,0.077983625,0.070093480,0.101238280,0.110804036,0.037060870,0.028624150,0.032686920,0.030879980,0.036990040,0.039166950,0.096295000
PZPYIRQFCOFLGJ-UHFFFAOYSA-N,2.4,0.076859,0.137432440,0.079700956,0.079700956,0.041476710,0.047617010,0.047644153,0.045126386,0.063084990,0.068099270,0.017812790,0.023597550,0.023601090,0.021974120,0.019574940,0.022793900,0.078819000
QGZKDVFQNNGYKY-UHFFFAOYSA-N,3.1,0.051406,0.094062805,0.043586684,0.043586684,0.034102682,0.021236269,0.021236546,0.001183680,0.052870862,0.061295122,0.016824890,0.017543440,0.017543920,0.026456920,0.021544690,0.022297680,0.055473000
QHPQWRBYOIRBIT-UHFFFAOYSA-N,3.6,0.100688,0.177748170,0.092811951,0.092811951,0.078127995,0.069629790,0.069702566,0.072574290,0.108778320,0.112581010,0.035031610,0.035018390,0.035013360,0.032935790,0.038658770,0.038405640,0.102323000
QHSCXYZVJCEABQ-UHFFFAOYSA-N,4,0.107584,0.189266560,0.098174644,0.098174644,0.102171940,0.112035560,0.120772764,0.067147310,0.143477320,0.153254540,0.026845040,,0.040022380,0.021355700,,,0.104346000
QMKKJBRRKIKWFK-UHFFFAOYSA-N,2.9,0.080672,0.148046280,0.075831725,0.075831725,0.079779150,0.058626223,0.058637500,0.057487927,0.099056390,0.102300560,0.036315870,0.030414790,0.030288610,0.028373130,0.041188630,0.041224940,0.084653000
QPHZWABVAIGWHI-UHFFFAOYSA-N,4.9,0.123523,0.208776700,0.094999357,0.094999357,0.108206436,0.080231550,0.073733180,0.084128840,0.142710420,0.134684940,0.052321840,,0.041971650,0.047230240,,,0.127714000
QSILYWCNPOLKPN-UHFFFAOYSA-N,2,0.061266,0.088756640,0.054659947,0.054659947,0.094080046,0.077718650,0.080520480,0.083032190,0.080150425,0.079092510,0.037159430,,0.033322840,0.039487870,,,0.067299000
QTBSBXVTEAMEQO-UHFFFAOYSA-N,3.6,0.096856,0.171609100,0.091062588,0.091062588,0.072226980,0.065659640,0.065661310,0.066908080,0.103557350,0.107817160,0.022111120,0.025555970,0.025557500,0.021760060,0.028326620,0.028398110,0.104697000
QWBBPBRQALCEIZ-UHFFFAOYSA-N,3.5,0.09226,0.159126900,0.090304858,0.090304858,0.074462830,0.067494390,0.067511280,0.071454900,0.105308520,0.108456746,0.029192170,0.029411620,0.029413980,0.028792970,0.036221040,0.036300700,0.093821000
QWVGKYWNOKOFNN-UHFFFAOYSA-N,3.6,0.095176,0.164494900,0.091708308,0.091708308,0.076847370,0.068307355,0.068340050,0.072797980,0.108390585,0.111915800,0.028100320,0.028795410,0.028797770,0.026233060,0.036455640,0.036623510,0.096059000
RFKMCNOHBTXSMU-UHFFFAOYSA-N,2,0.055649,0.115320995,0.053393863,0.053393863,0.085451720,0.079729770,0.090981120,0.050684687,0.105685950,0.100224786,0.019425100,,0.023404360,0.019867450,,,0.059754000
RHMPLDJJXGPMEX-UHFFFAOYSA-N,3.9,0.106826,0.190039960,0.097784886,0.097784886,0.095849940,0.084032640,0.084012985,0.087965810,0.131152800,0.135008750,0.041501580,0.040339500,0.040341200,0.039454020,0.044788850,0.044626770,0.109744000
RHQDFWAXVIIEBN-UHFFFAOYSA-N,3.7,0.105783,0.180296120,0.093229154,0.093229154,0.107942626,0.112596930,0.112540380,0.100162520,0.132129640,0.139897300,0.039977560,0.052920120,0.052920420,0.041746970,0.041387380,0.042028130,0.111465000
RIKMMFOAQPJVMX-UHFFFAOYSA-N,3.5,0.088688,0.149994820,0.075702300,0.075702300,0.117571960,0.101803970,0.101750955,0.105329730,0.127075970,0.137060880,0.043078880,0.040041390,0.040030480,0.044950060,0.044678830,0.047425610,0.094478000
RISOHYOEPYWKOB-UHFFFAOYSA-N,3.9,0.095651,,0.077462630,0.077462630,0.119578050,0.106717000,0.108396770,0.102995040,0.132782900,0.141436190,0.044632320,,0.041334120,0.041061970,,,0.100330000
RLSSMJSEOOYNOY-UHFFFAOYSA-N,3.6,0.100156,0.172013980,0.093250659,0.093250659,0.078718090,0.068242036,0.068242840,0.074109270,0.112303030,0.115504230,0.033307270,0.033357440,0.033359600,0.031205730,0.037598770,0.037173800,0.103115000
RMVRSNDYEFQCLF-UHFFFAOYSA-N,1.7,0.048311,0.084195200,0.048766215,0.048766215,0.049095690,0.029953321,0.031360660,0.045276810,0.087131515,0.075652026,0.024610570,,0.013090820,0.025075640,,,0.054628000
RPZNJLQPBDKQOG-JLAZNSOCSA-N,,0.101946,0.170819550,0.079450612,0.079450612,0.096779690,0.078854100,0.085480870,0.065840480,0.113851550,0.115504770,0.029496530,,0.027806300,0.022584150,,,0.108413000
RTZZCYNQPHTPPL-UHFFFAOYSA-N,4.6,0.117603,0.202494380,0.105246273,0.105246273,0.116738110,0.102276295,0.102257100,0.129258410,0.149190780,0.153649330,0.048205640,0.048081530,0.048082700,0.044881710,0.051998200,0.051950100,0.120449000
RUFPHBVGCFYCNW-UHFFFAOYSA-N,2.6,0.070552,0.130267440,0.059651564,0.059651564,0.077341594,0.038816616,0.038845737,0.048961790,0.097843210,0.110077600,0.038514460,0.021807680,0.021810480,0.026769510,0.037841730,0.041548180,0.074435000
RVDBZQDTMHPUAJ-UHFFFAOYSA-N,,0.056961,,0.048740959,0.048740959,0.136043160,0.075491200,0.067200790,0.116968654,0.084818944,0.071250770,0.033096250,,0.028076750,0.037039110,,,
RWEQEWKAJFTONV-UHFFFAOYSA-N,4.5,0.113626,0.178214550,0.095986690,0.095986690,0.108991410,0.107957825,0.107957110,0.103206680,0.147094820,0.149406400,0.038094790,0.042150100,0.042152810,0.036160510,0.047009410,0.046693150,0.122989000
SAPQIENQEZURNZ-UHFFFAOYSA-N,3.9,0.095731,0.173618910,0.080118625,0.080118625,0.121860490,0.094812110,0.094943814,0.102160200,0.138874290,0.150178540,0.045164500,0.038990690,0.038985050,0.036012180,0.050141530,0.052924630,0.103221000
SDXAWLJRERMRKF-UHFFFAOYSA-N,3.6,0.085589,0.147783380,0.072447828,0.072447828,0.109578060,0.096871080,0.096856220,0.094396250,0.115478200,0.125453830,0.041254600,0.038403630,0.038406920,0.040271770,0.041792290,0.044545760,0.090906000
